Micro-Category	2028 FEI CAGR (Average)	2028 FEI Engagement (Sum) (Millions)
Pocket Wellness Hydration	67.20%	1055.20281
₹20 Functional Shots	22.42%	542.0059
Mass Affordable Protein Drinks	N/A	0
Daily Health RTD Minis	47.83%	507.7763
Portable Morning Habit Drinks	129.31%	746.6708
On-the-Go Protein Hydration	121.00%	78.358588
Quick Compensation Drinks	N/A	0
Office Desk Wellness Drinks	76.00%	59.63316
Vitamin Sparkling Waters	-24.00%	132.984938
Electrolyte Sparkling Drinks	0.70%	2.2
Herbal Wellness Cola	N/A	0
Light Protein Sparkling	N/A	0
Light Protein Lemonade	N/A	0
Protein Dairy-Adjacency Drinks	-20.00%	250.0994
Plant Protein Hydration	92.24%	77.2683616
Workout-Lite Protein Drinks	N/A	0
Post-Heavy-Meal Digestive Drinks	44.55%	178.9305
Post-Travel Reset Drinks	N/A	0
Festival Detox Drinks	-18.27%	382.66608
Daily Probiotic Hydration	29.65%	240.56234
Collagen Glow Drinks	-15.30%	165.77825
Amla-Based Skin Drinks	N/A	0
Vitamin-E / Antioxidant Drinks	N/A	0
Ayurvedic Beauty Drinks	22.10%	134.0088
Lite Dessert Drinks	111.05%	100.1501727
Lite Electrolyte Drinks	N/A	0
Lite Protein Drinks	N/A	0
Portion-Control Treat Drinks	N/A	0
Fibre-Added Zero Drinks	N/A	0
Vitamin-Boost Zero Drinks	N/A	0
Protein Zero Drinks	N/A	0
Smart Substitute Drinks	183.20%	268.4684
Digestive Cola Lite	N/A	0
Herbal Digestive Sparkling	N/A	0
Botanical Cooling Digestive Drinks	N/A	0
After-Snack Digestive Minis	N/A	0
Gentle Coconut Hydration	N/A	0
Warm-Cool Calm Drinks	N/A	0
Mild Gut Hydration Drinks	N/A	0
Travel Recovery Hydration	2.00%	24.53
Anti-Bloat Herbal Drinks	N/A	0
Probiotic Reset Drinks	N/A	0
Fibre Digestive Drinks	N/A	0
Heavy-Meal Reset Drinks	N/A	0
Digestive Mini Shots	N/A	0
Sweet-Finish Balance Drinks	N/A	0
Bitter Herbal Balance Drinks	N/A	0
Restaurant Companion Shots	N/A	0
Daily Probiotic Drinks	N/A	0
Herbal Routine Drinks	N/A	0
Digestive Dairy Alternatives	N/A	0
Morning Gut Reset Drinks	N/A	0
Fibre Water RTDs	26.10%	40.09295
Oat Hydration Drinks	N/A	0
Satiety Balance Drinks	N/A	0
Weight-Balance Hydration Drinks	N/A	0
Herbal Sleep Drinks	81.00%	86.474805
Low-Sugar Night Drinks	74.30%	454.6354
Warm Milk Alternatives	N/A	0
Screen-Recovery Drinks	N/A	0
Evening Tea RTDs	N/A	0
Light Treat Relax Drinks	21.90%	63.44
Family-Time Relax Drinks	N/A	0
OTT Companion Drinks	N/A	0
Ayurvedic Milk Alternatives	N/A	0
Digestive Milk Drinks	N/A	0
Protein Calm Milk Drinks	N/A	0
Dessert-Style Calm Milk	N/A	0
Herbal Focus Drinks	11.40%	92.93168
Adaptogen Focus Drinks	N/A	0
Low-Caffeine Focus Drinks	102.20%	58.38371
Creative Flow Drinks	N/A	0
Desk Focus Drinks	N/A	0
Low-Crash Energy Drinks	N/A	0
Long-Meeting Drinks	N/A	0
Light Coffee Alternatives	N/A	0
Herbal Focus Iced Teas	N/A	0
Clear Functional Teas	N/A	0
Refresh-Balance Hybrid Drinks	N/A	0
Everyday Calm RTDs	N/A	0
Pocket Escape Minis	N/A	0
Focus Break Sparkling Minis	N/A	0
Dessert Break Minis	N/A	0
Functional Micro-Break Drinks	N/A	0
Linger-Friendly Cola Formats	N/A	0
Long-Sip Dessert Drinks	N/A	0
Calm Hydration Bottles	N/A	0
Focus Break Bottles	N/A	0
Herbal Calm Sparkling Lite	N/A	0
Low-Carb Herbal Infusions	N/A	0
Fruit Calm Infusions	N/A	0
Non-Hot Night Drinks	N/A	0
Night Ritual Drinks	N/A	0
After-Dinner Relax Drinks	N/A	0
Mental Unclutter Drinks	N/A	0
Light Dessert Relax Drinks	N/A	0
Slim Tall Cola Cans	N/A	0
Grip-Friendly Bottles	N/A	0
Long-Sip Hydration Bottles	N/A	0
Pocket Hydration Drinks	N/A	0
Matte-Can Drinks	N/A	0
Non-Sticky Sweet Drinks	N/A	0
Spill-Proof Bottles	N/A	0
Gaming Hydration Drinks	N/A	0
Soft Fizz Drinks	157.00%	476.7991
Botanical Soft Sparkling	N/A	0
Fruit Soft Sparkling	N/A	0
Creamy Fizz Drinks	N/A	0
Lite Milkshake Drinks	N/A	0
Smooth Cold Coffee Drinks	N/A	0
Yogurt-Based Drinks	N/A	0
Coconut Cream Drinks	N/A	0
Nostalgia Drinks	N/A	0
Chill-Coded Drinks	N/A	0
Spa-Style Drinks	N/A	0
Ambient Mood Drinks	N/A	0
Mini Dessert Drinks	8.73%	6.156899
Portion-Control Treat Drinks	N/A	0
Low-Sugar Dessert Drinks	N/A	0
Lite Dairy-Adjacency Treats	10.50%	418.8077
Twin-Pack Treat Drinks	N/A	0
Family Dessert Samplers	N/A	0
Party Mini Shots	N/A	0
OTT Snack Companion Minis	N/A	0
Layered Cream-Top Drinks	N/A	0
Shake-to-Mix Drinks	N/A	0
Boba / Texture Drinks	20.10%	66.16547
Colour-Change Drinks	N/A	0
Lite Café Dessert Drinks	16.00%	106.6749
Fruit Dessert Drinks	N/A	0
Spice Dessert Drinks	N/A	0
Ice-Cream-Inspired Drinks	82.00%	70.20185
Cold Coffee Variants	163.00%	299.8588
Dessert Iced Teas	N/A	0
Milkshake-Style RTDs	-12.00%	488.394
Mocktail Dessert Drinks	N/A	0
International Dessert Drinks	N/A	0
Exotic Fruit Drinks	N/A	0
Chef-Curated Drinks	N/A	0
City-Inspired Drinks	N/A	0
Indian Festival Drinks	21.20%	219.3
Summer Fruit Drops	13.70%	120.7933
Winter Dessert Drinks	N/A	0
IPL / Event Editions	N/A	0
Calm Dessert Drinks	N/A	0
Glow Dessert Drinks	N/A	0
Relax Dessert Drinks	N/A	0
Happy Boost Drinks	N/A	0
Protein Dessert Drinks	N/A	0
Fibre Dessert Drinks	N/A	0
Low-Sugar Dessert Drinks	N/A	0
Adaptogen Dessert Drinks	N/A	0
Slow-Caffeine Sparkling Hydration	N/A	0
Electrolyte Sparkling Hydration	N/A	0
Adaptogen Refresh Drinks	N/A	0
Long-Energy Hydration RTDs	N/A	0
Daily Electrolyte Drinks	N/A	0
Electrolyte Sparkling Waters	78.80%	363.5
Heat-Commute Hydration Drinks	N/A	0
Mild Fatigue Recovery Drinks	29.48%	116.28148
Gaming Focus Drinks	N/A	0
Screen-Session Hydration Drinks	N/A	0
Night-Gaming Refresh Drinks	N/A	0
Quick Reaction Shots	N/A	0
Study-Mode Focus Drinks	N/A	0
Midday Slump Reset Drinks	N/A	0
Calm-Focus Refresh Drinks	N/A	0
Long-Study Hydration Drinks	N/A	0
Travel Fatigue Recovery Drinks	N/A	0
Digestive Recovery Refresh Drinks	N/A	0
Immune Boost Refresh Drinks	N/A	0
Hotel Mini-Bar Recovery Drinks	N/A	0
High-Salt Heat Recovery Drinks	11.43%	130.4979
Botanical Cooling Drinks	N/A	0
Outdoor Worker Hydration Drinks	13.00%	111.8726
Kids Heat Protection Drinks	N/A	0
Morning-After Hydration Drinks	N/A	0
Late-Night Recovery Drinks	N/A	0
Detox-Reset Refresh Drinks	76.00%	138.3349
Sleep-Friendly Refresh Drinks	N/A	0
Light Caffeine Electrolyte Drinks	67.00%	60.0872
Warm-to-Cold Transition Fuel	39.72%	186.64831
Hydration + Alertness Drinks	N/A	0
Habit Ignition Minis	67.10%	616.5674
Low-Sugar Energy Lemonades	94.01%	876.8027
Quick Alertness Shots	N/A	0
Desk Reset Drinks	12.52%	442.2159
Commute Push Drinks	N/A	0
Pre-Workout Lite Fuel Drinks	181.66%	369.34763
Exam-Prep Fuel Drinks	N/A	0
Meeting-Prep Fuel Drinks	43.00%	283.498
Hybrid Protein-Energy Drinks	N/A	0
Slow-Energy Tea Drinks	N/A	0
Adaptogen Tea Fuels	N/A	0
Calm-Energy Tea Drinks	-3.40%	173.4454
Long-Study Tea Drinks	14.50%	237.9032
Protein Hydration Fuels	N/A	0
Protein + Electrolyte Fuels	23.00%	82.77
Meal-Lite Fuel Drinks	47.84%	143.16338
Long-Workday Fuel Drinks	N/A	0
Calm-Energy Hydration Drinks	N/A	0
Stress-Resilience Fuel Drinks	N/A	0
Long-Commute Fuel Drinks	N/A	0
Stability Fuel Drinks	82.00%	327.4513
Study Focus Drinks	N/A	0
Creative Flow Drinks	N/A	0
Calm-Focus Drinks	30.35%	59.9212
Long-Session Drinks	N/A	0
Light Adaptogen Sodas	N/A	0
Calm-Alertness Drinks	N/A	0
Creative Reboot Drinks	86.00%	136.28991
Sleep-Safe Focus Drinks	N/A	0